epoch,IoU,accuracy,loss,lr,val_IoU,val_accuracy,val_loss
0,0.9274262189865112,0.948654055595398,0.14184688031673431,0.001,0.9696115851402283,0.9730564951896667,0.07843871414661407
1,0.9763270616531372,0.9776715040206909,0.05891871079802513,0.001,0.9866213202476501,0.9816970825195312,0.05039093643426895
2,0.9832717180252075,0.9827086329460144,0.04373323544859886,0.001,0.9807530641555786,0.9838940501213074,0.04314287379384041
3,0.9863223433494568,0.9850767850875854,0.036884378641843796,0.001,0.9862127900123596,0.97995525598526,0.056339140981435776
4,0.9898319840431213,0.988862156867981,0.027808580547571182,0.001,0.99057936668396,0.9886565804481506,0.02799098938703537
5,0.991671085357666,0.9906059503555298,0.02298377826809883,0.001,0.9922741651535034,0.9899787902832031,0.024521876126527786
6,0.992525041103363,0.9912577867507935,0.020405646413564682,0.001,0.9934549331665039,0.9910759329795837,0.023219315335154533
7,0.9949038028717041,0.9938762784004211,0.01369286235421896,0.001,0.9934830069541931,0.9908300638198853,0.025148557499051094
8,0.9953002333641052,0.9940810203552246,0.012831173837184906,0.001,0.9948985576629639,0.9927749633789062,0.015932543203234673
9,0.9959823489189148,0.994861900806427,0.010777934454381466,0.001,0.994904100894928,0.9931567311286926,0.015472622588276863
10,0.9962071180343628,0.9949737787246704,0.01030606310814619,0.001,0.9950898885726929,0.9929287433624268,0.016477007418870926
11,0.9960166215896606,0.9947834610939026,0.010900949127972126,0.001,0.9950628280639648,0.9927098155021667,0.01768692024052143
12,0.9966294765472412,0.995431661605835,0.009305424056947231,0.001,0.9934461116790771,0.9896466135978699,0.029997793957591057
13,0.9909600019454956,0.9890936613082886,0.027113759890198708,0.001,0.9836035370826721,0.9796708822250366,0.06465239822864532
14,0.9950163960456848,0.9937827587127686,0.013951171189546585,0.001,0.9931458830833435,0.990331768989563,0.028181415051221848
15,0.9964658617973328,0.995246946811676,0.009502861648797989,0.001,0.9959186911582947,0.9945185780525208,0.012093868106603622
16,0.9965673685073853,0.9953127503395081,0.009404435753822327,0.001,0.9963194727897644,0.9944088459014893,0.011541064828634262
17,0.9968324303627014,0.9955511093139648,0.008595399558544159,0.001,0.9955189228057861,0.9932852387428284,0.01562462653964758
18,0.9969426989555359,0.9956821203231812,0.008225898258388042,0.001,0.9960312247276306,0.9940786957740784,0.01317659579217434
19,0.9969872236251831,0.995750904083252,0.008152749389410019,0.001,0.9964191913604736,0.9945998787879944,0.011919254437088966
20,0.9972577691078186,0.9960237741470337,0.00736096641048789,0.001,0.9962326884269714,0.9940493702888489,0.014548355713486671
21,0.9972285628318787,0.9959699511528015,0.007461150176823139,0.001,0.9962761998176575,0.9942104816436768,0.013365068472921848
22,0.997365415096283,0.9961081743240356,0.007101958151906729,0.001,0.9964331984519958,0.9946506023406982,0.012423694133758545
23,0.9974071383476257,0.9961602687835693,0.00695530092343688,0.001,0.9966421127319336,0.9946796894073486,0.012172305956482887
24,0.9894638657569885,0.9873154759407043,0.031996358186006546,0.001,0.9887052774429321,0.9821929931640625,0.059836700558662415
