epoch,IoU,accuracy,loss,lr,val_IoU,val_accuracy,val_loss
0,0.9454440474510193,0.9623509049415588,0.11284542083740234,0.001,0.9797109365463257,0.9685208201408386,0.09018675982952118
1,0.9774092435836792,0.9746429324150085,0.05535085126757622,0.001,0.9866520166397095,0.9780291318893433,0.057781610637903214
2,0.9822701215744019,0.9778863787651062,0.04559639096260071,0.001,0.9867382645606995,0.9775202870368958,0.06641506403684616
3,0.9843822717666626,0.9795272350311279,0.040807388722896576,0.001,0.9867006540298462,0.9756281971931458,0.09157826006412506
4,0.9857619404792786,0.9807748794555664,0.03770850598812103,0.001,0.9876731634140015,0.9788920879364014,0.06007412448525429
5,0.9866318702697754,0.9815382957458496,0.03554724156856537,0.001,0.9883967638015747,0.9799983501434326,0.0556732602417469
6,0.9876461029052734,0.9826661348342896,0.0327487476170063,0.001,0.9876477718353271,0.9781942963600159,0.07482503354549408
7,0.9882655143737793,0.9833314418792725,0.031062010675668716,0.001,0.9878126978874207,0.9797607064247131,0.049785055220127106
8,0.9883398413658142,0.9834385514259338,0.031368788331747055,0.001,0.9872515797615051,0.9786503314971924,0.063622385263443
9,0.9890785813331604,0.9842099547386169,0.029098214581608772,0.001,0.9852775931358337,0.9775396585464478,0.04838435351848602
10,0.9894407987594604,0.9845685958862305,0.028197983279824257,0.001,0.9784575700759888,0.9729127287864685,0.06324760615825653
11,0.9899871945381165,0.9851983189582825,0.026556413620710373,0.001,0.97463458776474,0.9769551157951355,0.06127714365720749
12,0.9897941946983337,0.9848878979682922,0.02723291702568531,0.001,0.9876043796539307,0.980815589427948,0.04382232949137688
13,0.9908332228660583,0.9861260652542114,0.024549853056669235,0.001,0.9837071895599365,0.9807263612747192,0.04468708485364914
14,0.9911947250366211,0.9865210652351379,0.023728318512439728,0.001,0.9895966649055481,0.9826052784919739,0.04096625745296478
15,0.9910203814506531,0.986233115196228,0.024196753278374672,0.001,0.987341046333313,0.9805430173873901,0.04568987712264061
16,0.990858256816864,0.9861096143722534,0.02470344863831997,0.001,0.9889411330223083,0.9808639883995056,0.05040549859404564
17,0.9915415644645691,0.9868300557136536,0.022610841318964958,0.001,0.988235592842102,0.9795221090316772,0.04788108170032501
18,0.992450475692749,0.9879340529441833,0.020106937736272812,0.001,0.9888147115707397,0.9801512360572815,0.04640861600637436
19,0.9930922985076904,0.9886455535888672,0.01843714714050293,0.001,0.990220308303833,0.9822784066200256,0.04175348952412605
20,0.993217945098877,0.9887735247612,0.018108874559402466,0.001,0.9899218678474426,0.9821032285690308,0.04027022421360016
21,0.9932060837745667,0.9887886643409729,0.01836109533905983,0.001,0.9904759526252747,0.9821481108665466,0.04421013593673706
22,0.9929927587509155,0.9885467290878296,0.018966348841786385,0.001,0.99051833152771,0.9822466969490051,0.04626141116023064
23,0.9931402206420898,0.9886758327484131,0.018441418185830116,0.001,0.9883391261100769,0.9787272214889526,0.07115332037210464
24,0.9930809736251831,0.988538920879364,0.01873140037059784,0.001,0.9900083541870117,0.9823432564735413,0.04289095848798752
25,0.9931216239929199,0.9886294007301331,0.018476800993084908,0.001,0.9902394413948059,0.9829597473144531,0.04138217121362686
26,0.9935237169265747,0.9890919327735901,0.017412016168236732,0.001,0.9892648458480835,0.9813382029533386,0.04995984211564064
27,0.9937371015548706,0.9893351793289185,0.0168145839124918,0.001,0.9893355965614319,0.9817384481430054,0.04782899469137192
28,0.9940147995948792,0.9896568655967712,0.016114376485347748,0.001,0.9884393215179443,0.9790807962417603,0.059427760541439056
